ACADEMY OF EDUCATIONAL EXCELLENCE,Ohio,OH ,3901502,    ,1,1,Lucas County,7-Independent Charter District,11-City: Large,Kindergarten,6th Grade,113,6.25,18.08
ACADEMY OF HEALTH SCIENCES CHARTER SCHOOL,NEW YORK,NY ,3601190,    ,1,1,Monroe County,7-Independent Charter District,12-City: Mid-size,5th Grade,5th Grade,103,4.46,23.09
ACADEMY OF HOPE ADULT PCS,DISTRICT OF COLUMBIA,DC ,1100094,    ,0,†,District of Columbia,7-Independent Charter District,11-City: Large,Adult Education,Adult Education,0,0,†
ACADEMY OF JUNIOR SCHOLARS,OHIO,OH ,3901601,    ,1,1,Hamilton County,7-Independent Charter District,11-City: Large,Kindergarten,8th Grade,92,7.99,11.51
ACADEMY OF MATHEMATICS AND SCIENCE INC. (79961),Arizona,AZ ,400368,    ,1,1,Pima County,7-Independent Charter District,11-City: Large,Kindergarten,12th Grade,600,0,†
ACADEMY OF MATHEMATICS AND SCIENCE INC. (92768),ARIZONA,AZ ,400940,    ,1,1,Maricopa County,7-Independent Charter District,11-City: Large,Kindergarten,8th Grade,1152,0,†
ACADEMY OF MATHEMATICS AND SCIENCE SOUTH INC. (90878),Arizona,AZ ,400891,    ,4,6,Pima County,7-Independent Charter District,11-City: Large,Kindergarten,8th Grade,1882,0,†
ACADEMY OF MEDIA ARTS DISTRICT,CALIFORNIA,CA ,602503,    ,1,1,Los Angeles County,7-Independent Charter District,11-City: Large,9th Grade,12th Grade,31,0,†
ACADEMY OF SEMINOLE CHARTER,OKLAHOMA,OK ,4000803,    ,2,2,Seminole County,7-Independent Charter District,32-Town: Distant,Prekindergarten,12th Grade,283,15.26,18.55
ACADEMY OF THE CITY CHARTER SCHOOL,New York,NY ,3601053,    ,1,1,Queens County,7-Independent Charter District,11-City: Large,Kindergarten,6th Grade,529,0,†
ACADEMY OF THE PACIFIC RIM CHARTER PUBLIC (DISTRICT),Massachusetts,MA ,2500021,    ,1,1,Suffolk County,7-Independent Charter District,11-City: Large,5th Grade,12th Grade,527,46.82,11.26
ACADEMY OF TUCSON INC. (78897),Arizona,AZ ,400202,    ,3,3,Pima County,7-Independent Charter District,11-City: Large,Kindergarten,12th Grade,596,0,†
ACADEMY OF WARREN,Michigan,MI ,2600308,    ,1,1,Macomb County,7-Independent Charter District,12-City: Mid-size,Kindergarten,8th Grade,705,31.85,22.14
ACADEMY SCHOOL DISTRICT NO. 20 IN THE COUNTY OF EL PASO AN,Colorado,CO ,801920,    ,40,40,El Paso County,1-Regular local school district that is NOT a component of a supervisory union,11-City: Large,Prekindergarten,12th Grade,26603,1606.04,16.56
ACADEMY WITH COMMUNITY PARTNERS  INC (79213),Arizona,AZ ,400276,    ,1,1,Maricopa County,7-Independent Charter District,11-City: Large,9th Grade,12th Grade,136,0,†
ACADIA ACADEMY,MAINE,ME ,2314831,    ,1,1,Androscoggin County,7-Independent Charter District,13-City: Small,Prekindergarten,5th Grade,229,16.51,13.87
ACADIA PARISH,Louisiana,LA ,2200030,    ,27,27,Acadia Parish,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,Prekindergarten,12th Grade,9739,510.3,19.08
ACADIANA RENAISSANCE CHARTER ACADEMY,LOUISIANA,LA ,2200231,    ,1,1,Lafayette Parish,7-Independent Charter District,41-Rural: Fringe,Kindergarten,8th Grade,896,50.5,17.74
ACALANES UNION HIGH,California,CA ,601650,    ,5,5,Contra Costa County,1-Regular local school district that is NOT a component of a supervisory union,21-Suburb: Large,9th Grade,12th Grade,5635,0,†
ACCELERATED ACHIEVEMENT ACADEMY DISTRICT,CALIFORNIA,CA ,601877,    ,1,1,Mendocino County,7-Independent Charter District,33-Town: Remote,4th Grade,12th Grade,144,0,†
ACCELERATED CHARTER ELEMENTARY DISTRICT,CALIFORNIA,CA ,601471,    ,1,1,Los Angeles County,7-Independent Charter District,11-City: Large,Kindergarten,6th Grade,494,0,†
ACCELERATED DISTRICT,CALIFORNIA,CA ,601732,    ,1,1,Los Angeles County,7-Independent Charter District,11-City: Large,Kindergarten,8th Grade,741,0,†
ACCELERATED ELEMENTARY AND SECONDARY SCHOOLS (6364),Arizona,AZ ,400129,    ,1,1,Pima County,7-Independent Charter District,41-Rural: Fringe,Kindergarten,12th Grade,173,0,†
ACCELERATED INTERMEDIATE ACADEMY,Texas,TX ,4800192,    ,2,4,Harris County,7-Independent Charter District,11-City: Large,Prekindergarten,7th Grade,249,17.98,13.85
ACCELERATED LEARNING CENTER INC. (4297),Arizona,AZ ,400121,    ,1,1,Maricopa County,7-Independent Charter District,11-City: Large,9th Grade,12th Grade,168,0,†
ACCELERATION DAY AND EVENING ACADEMY,ALABAMA,AL ,100197,    ,1,1,Mobile County,7-Independent Charter District,12-City: Mid-size,9th Grade,12th Grade,318,10,31.8
ACCEPT EDUCATION COLLABORATIVE,MASSACHUSETTS,MA ,2500578,    ,0,†,Middlesex County,4-Regional Education Service Agency (RESA),21-Suburb: Large,–,–,†,†,†
ACCLAIM CHARTER SCHOOL (4325),Arizona,AZ ,400122,    ,1,1,Maricopa County,7-Independent Charter District,11-City: Large,Kindergarten,8th Grade,368,0,†
ACCOMACK CO PBLC SCHS,Virginia,VA ,5100060,    ,13,13,Accomack County,1-Regular local school district that is NOT a component of a supervisory union,43-Rural: Remote,Prekindergarten,12th Grade,5161,319.99,16.13
ACE ACADEMY (SDA),Michigan,MI ,2600943,    ,2,2,Wayne County,7-Independent Charter District,21-Suburb: Large,4th Grade,12th Grade,156,6.75,23.11
ACE CHARTER HIGH DISTRICT,CALIFORNIA,CA ,601561,    ,1,1,Santa Clara County,7-Independent Charter District,11-City: Large,9th Grade,12th Grade,404,0,†
ACE EMPOWER ACADEMY DISTRICT,CALIFORNIA,CA ,602217,    ,1,1,Santa Clara County,7-Independent Charter District,11-City: Large,5th Grade,8th Grade,244,†,–
ACE ESPERANZA MIDDLE DISTRICT,CALIFORNIA,CA ,601852,    ,1,1,Santa Clara County,7-Independent Charter District,11-City: Large,5th Grade,8th Grade,250,†,–
ACE INSPIRE ACADEMY DISTRICT,CALIFORNIA,CA ,602138,    ,1,1,Santa Clara County,7-Independent Charter District,11-City: Large,5th Grade,8th Grade,233,†,–
ACE PREPARATORY ACADEMY,INDIANA,IN ,1800172,    ,1,1,Marion County,7-Independent Charter District,11-City: Large,Kindergarten,4th Grade,164,11.05,14.84
ACES TECHNICAL CHARTER SCHOOL,NEW MEXICO,NM ,3500185,    ,0,1,Bernalillo County,7-Independent Charter District,11-City: Large,–,–,†,†,†
ACHIEVE ACADEMY DISTRICT,CALIFORNIA,CA ,602165,    ,1,1,Alameda County,7-Independent Charter District,11-City: Large,Kindergarten,5th Grade,650,0,†
ACHIEVE CAREER PREPARATORY ACADEMY,Ohio,OH ,3901362,    ,1,1,Lucas County,7-Independent Charter District,11-City: Large,9th Grade,12th Grade,102,10,10.2
ACHIEVE CHARTER ACADEMY,Michigan,MI ,2600963,    ,1,1,Wayne County,7-Independent Charter District,41-Rural: Fringe,Kindergarten,8th Grade,791,34.52,22.91
ACHIEVE CHARTER HIGH DISTRICT,CALIFORNIA,CA ,601615,    ,1,1,Butte County,7-Independent Charter District,13-City: Small,9th Grade,12th Grade,0,0,†
ACHIEVE CHARTER SCHOOL OF PARADISE INC. DISTRICT,CALIFORNIA,CA ,602133,    ,1,1,Butte County,7-Independent Charter District,13-City: Small,Kindergarten,8th Grade,217,0,†
ACHIEVE COMMUNITY CHARTER SCHOOL,NEW JERSEY,NJ ,3400792,    ,1,1,Essex County,7-Independent Charter District,11-City: Large,Kindergarten,6th Grade,317,20,15.85
ACHIEVE LANGUAGE ACADEMY,Minnesota,MN ,2700118,    ,1,1,Ramsey County,7-Independent Charter District,11-City: Large,Prekindergarten,8th Grade,462,37.67,12.26
ACHIEVEMENT CHARTER ACADEMY,NORTH CAROLINA,NC ,3700459,    ,0,1,Harnett County,7-Independent Charter District,41-Rural: Fringe,–,–,†,†,†
ACHIEVEMENT FIRST APOLLO CHARTER SCHOOL,New York,NY ,3601028,    ,1,1,Kings County,7-Independent Charter District,11-City: Large,Kindergarten,8th Grade,871,0,†
ACHIEVEMENT FIRST ASPIRE CHARTER SCHOOL,New York,NY ,3601109,    ,1,1,Kings County,7-Independent Charter District,11-City: Large,Kindergarten,7th Grade,780,0,†
ACHIEVEMENT FIRST BRIDGEPORT ACADEMY DISTRICT,Connecticut,CT ,900208,    ,1,1,Fairfield County,7-Independent Charter District,12-City: Mid-size,Kindergarten,12th Grade,1110,62.1,17.87
ACHIEVEMENT FIRST BROWNSVILLE CHARTER SCHOOL,New York,NY ,3600969,    ,1,1,Kings County,7-Independent Charter District,11-City: Large,Kindergarten,12th Grade,1174,0,†
ACHIEVEMENT FIRST CROWN HEIGHTS CHARTER SCHOOL,New York,NY ,3600147,    ,1,1,Kings County,7-Independent Charter District,11-City: Large,Kindergarten,12th Grade,1242,0,†
ACHIEVEMENT FIRST EAST NEW YORK CHARTER SCHOOL,New York,NY ,3600149,    ,1,1,Kings County,7-Independent Charter District,11-City: Large,Kindergarten,12th Grade,1145,0,†
ACHIEVEMENT FIRST ENDEAVOR CHARTER SCHOOL,New York,NY ,3600170,    ,1,1,Kings County,7-Independent Charter District,11-City: Large,Kindergarten,8th Grade,828,0,†
ACHIEVEMENT FIRST HARTFORD ACADEMY DISTRICT,Connecticut,CT ,900212,    ,1,1,Hartford County,7-Independent Charter District,12-City: Mid-size,Kindergarten,12th Grade,1169,85.9,13.61
ACHIEVEMENT FIRST LINDEN CHARTER SCHOOL,NEW YORK,NY ,3601112,    ,1,1,Kings County,7-Independent Charter District,11-City: Large,Kindergarten,6th Grade,651,0,†
ACHIEVEMENT FIRST NORTH BROOKLYN PREPARATORY CHARTER SCHOOL,NEW YORK,NY ,3601124,    ,1,1,Kings County,7-Independent Charter District,11-City: Large,Kindergarten,6th Grade,637,0,†
ACHIEVEMENT FIRST RHODE ISLAND,Rhode Island,RI ,4400021,    ,4,4,Providence County,7-Independent Charter District,12-City: Mid-size,Kindergarten,7th Grade,1357,65,20.88
ACHIEVEMENT FIRST VOYAGER CHARTER SCHOOL,NEW YORK,NY ,3601143,    ,1,1,Kings County,7-Independent Charter District,11-City: Large,Kindergarten,8th Grade,305,0,†
ACHIEVEMENT FIRST-BUSHWICK CHARTER SCHOOL,New York,NY ,3600166,    ,1,1,Kings County,7-Independent Charter District,11-City: Large,Kindergarten,8th Grade,934,0,†
ACHIEVEMENT HOUSE CS,Pennsylvania,PA ,4200128,    ,1,1,Chester County,7-Independent Charter District,21-Suburb: Large,7th Grade,12th Grade,588,42.87,13.72
ACHIEVEMENT PREPARATORY ACADEMY PCS,District of Columbia,DC ,1100072,    ,2,2,District of Columbia,7-Independent Charter District,11-City: Large,Prekindergarten,8th Grade,750,58.75,12.77
ACHIEVEMENT SCHOOL DISTRICT,NEVADA,NV ,3200022,    ,6,6,Clark County,1-Regular local school district that is NOT a component of a supervisory union,11-City: Large,Kindergarten,12th Grade,1796,38,47.26
ACHIEVEMENT SCHOOL DISTRICT,Tennessee,TN ,4700147,    ,30,30,Davidson County,1-Regular local school district that is NOT a component of a supervisory union,11-City: Large,Prekindergarten,12th Grade,11169,501.3,22.28
ACHIEVEPOINT CAREER ACADEMY - CINCINNATI,OHIO,OH ,3901602,    ,1,1,Hamilton County,7-Independent Charter District,11-City: Large,9th Grade,12th Grade,137,3,45.67
ACHIEVERS EARLY COLLEGE PREP CHARTER SCHOOL,NEW JERSEY,NJ ,3400794,    ,1,1,Mercer County,7-Independent Charter District,13-City: Small,6th Grade,7th Grade,172,†,–
ACHILLE,Oklahoma,OK ,4002370,    ,2,2,Bryan County,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,Prekindergarten,12th Grade,339,21.86,15.51
ACKERMAN CHARTER,California,CA ,601680,    ,1,1,Placer County,7-Independent Charter District,31-Town: Fringe,Kindergarten,8th Grade,592,0,†
ACORN MONTESSORI CHARTER SCHOOL (79437),Arizona,AZ ,400320,    ,2,2,Yavapai County,7-Independent Charter District,13-City: Small,Kindergarten,8th Grade,505,0,†
ACTON PUBLIC SCHOOLS,Maine,ME ,2302220,    ,1,1,York County,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,Prekindergarten,12th Grade,233,18.2,12.8
ACTON-AGUA DULCE UNIFIED,California,CA ,600001,    ,3,3,Los Angeles County,1-Regular local school district that is NOT a component of a supervisory union,41-Rural: Fringe,Kindergarten,12th Grade,1042,0,†
ACTON-BOXBOROUGH,Massachusetts,MA ,2501710,    ,9,9,Middlesex County,1-Regular local school district that is NOT a component of a supervisory union,21-Suburb: Large,Prekindergarten,12th Grade,5411,383.64,14.1
ACUSHNET,Massachusetts,MA ,2501740,    ,2,2,Bristol County,1-Regular local school district that is NOT a component of a supervisory union,22-Suburb: Mid-size,Prekindergarten,8th Grade,1010,70.5,14.33
AD PRIMA CS,Pennsylvania,PA ,4200129,    ,1,1,Philadelphia County,7-Independent Charter District,11-City: Large,Kindergarten,8th Grade,665,40,16.63
ADA,Oklahoma,OK ,4002430,    ,6,6,Pontotoc County,1-Regular local school district that is NOT a component of a supervisory union,33-Town: Remote,Prekindergarten,12th Grade,2564,190.64,13.45
ADA EXEMPTED VILLAGE,Ohio,OH ,3904518,    ,2,2,Hardin County,1-Regular local school district that is NOT a component of a supervisory union,41-Rural: Fringe,Prekindergarten,12th Grade,863,56.8,15.19
ADA-BORUP PUBLIC SCHOOL DISTRICT,Minnesota,MN ,2700126,    ,3,3,Norman County,1-Regular local school district that is NOT a component of a supervisory union,43-Rural: Remote,Prekindergarten,12th Grade,673,53.78,12.51
ADAIR,Oklahoma,OK ,4002460,    ,3,3,Mayes County,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,Prekindergarten,12th Grade,1069,68.18,15.68
ADAIR CO. R-I,Missouri,MO ,2922980,    ,2,2,Adair County,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,Prekindergarten,12th Grade,225,18.74,12.01
ADAIR CO. R-II,Missouri,MO ,2905790,    ,2,2,Adair County,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,Kindergarten,12th Grade,144,22.46,6.41
ADAIR COUNTY,Kentucky,KY ,2100030,    ,5,5,Adair County,1-Regular local school district that is NOT a component of a supervisory union,33-Town: Remote,Prekindergarten,12th Grade,2763,174,15.88
ADAIR-CASEY COMM SCHOOL DISTRICT,Iowa,IA ,1903090,    ,2,2,Guthrie County,1-Regular local school district that is NOT a component of a supervisory union,43-Rural: Remote,Prekindergarten,12th Grade,259,24.54,10.55
ADAM/BRWN/CASS/MORGN/PIK/SCTT ROE,Illinois,IL ,1700162,    ,5,5,Adams County,9-Specialized public school district,33-Town: Remote,6th Grade,12th Grade,139,11,12.64
ADAMS 1 MAPLETON,Colorado,CO ,800258,    ,0,†,Adams County,4-Regional Education Service Agency (RESA),21-Suburb: Large,–,–,†,†,†
ADAMS 12 FIVE STAR SCHOOLS,Colorado,CO ,806900,    ,53,53,Adams County,1-Regular local school district that is NOT a component of a supervisory union,21-Suburb: Large,Prekindergarten,12th Grade,38707,2075.79,18.65
ADAMS 12 NORTHGLENN,Colorado,CO ,800268,    ,0,†,Adams County,4-Regional Education Service Agency (RESA),21-Suburb: Large,–,–,†,†,†
ADAMS 14 COMMERCE CITY,Colorado,CO ,800272,    ,0,†,Adams County,4-Regional Education Service Agency (RESA),13-City: Small,–,–,†,†,†
ADAMS 27J SCHOOL DISTRICT 27J,Colorado,CO ,800237,    ,0,†,Adams County,4-Regional Education Service Agency (RESA),21-Suburb: Large,–,–,†,†,†
